,COSMIC_ID,gene_expr,AUC
1,1240121,3.099788583,0.839786
2,1240122,3.339965324,0.797647
3,1240123,3.09923374,0.696088
4,1240124,3.394443226,0.738895
5,1240127,3.762241806,0.793449
6,1240128,3.559775258,0.764266
7,1240129,3.301322854,0.851621
8,1240131,3.478030064,0.779084
9,1240132,3.142699795,0.947732
10,1240134,3.308233339,0.741919
11,1240140,3.199454889,0.785179
12,1240141,3.187496171,0.778378
13,1240142,3.276880268,0.74118
14,1240143,3.260776964,0.785772
15,1240145,3.909489197,0.829241
16,1240146,3.30688184,0.757618
17,1240149,3.949624097,0.764276
18,1240151,3.228969791,0.671073
19,1240153,3.275089913,0.80292
20,1240154,3.971547898,0.836299
21,1240155,3.6799841,0.829915
22,1240157,3.327165861,0.763759
23,1240158,3.704681957,0.783452
24,1240159,4.457401975,0.948333
25,1240160,3.354212231,0.839689
26,1240162,3.019195962,0.746911
27,1240166,3.139785363,0.831345
28,1240167,3.290111421,0.770279
29,1240168,4.233384607,0.705224
30,1240169,3.498434449,0.722401
31,1240172,3.232315868,0.654251
32,1240173,3.203680321,0.724269
33,1240174,3.079061506,0.685031
34,1240179,3.742290575,0.90396
35,1240181,3.422218179,0.797375
36,1240183,3.920069008,0.635755
37,1240184,2.948642982,0.757423
38,1240185,3.57112943,0.923499
39,1240186,3.431315778,0.865546
40,1240187,3.214580501,0.906905
41,1240189,3.286070189,0.941513
42,1240190,3.420095633,0.899015
43,1240192,3.719882185,0.843718
44,1240193,3.487070047,0.744978
45,1240196,3.311619672,0.714961
46,1240197,3.284440999,0.77636
47,1240198,3.268283066,0.751586
48,1240199,3.331278787,0.88407
49,1240200,5.363804264,0.829874
50,1240201,3.404836271,0.704039
51,1240202,3.371635946,0.750677
52,1240208,3.453301269,0.835173
53,1240209,3.276389399,0.78115
54,1240210,3.36191654,0.79821
55,1240212,3.26956648,0.757501
56,1240215,3.336912157,0.788606
57,1240216,3.332156334,0.807402
58,1240217,3.370167253,0.81367
59,1240218,3.356495636,0.834049
60,1240219,3.209497276,0.830499
61,1240221,3.772716597,0.849148
62,1240222,3.30539475,0.668142
